scenario,base,type,propensityModelMisspecified,riskModelMisspecified,sampleSize,harm,riskModel,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
73,risk,linear-high,true,true,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
74,risk,linear-high,true,true,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
75,risk,linear-high,true,true,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
76,risk,linear-high,true,true,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
77,risk,linear-high,true,true,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
78,risk,linear-high,true,true,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
79,risk,linear-high,true,true,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
80,risk,linear-high,true,true,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
81,risk,linear-high,true,true,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
82,risk,linear-high,true,true,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
